run_id,timestamp_utc,agent_key,model,provider,test_id,class_id,class_name,level,area_id,area_name,pass_fail,failure_mode,expected,selected,elapsed_s,raw_reply
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_0_1_1,Class 1:0:1:1,Class1,0,1,language,skip,catalog_only,cat,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_1_1_1,Class 1:1:1:1,Class1,1,1,language,skip,catalog_only,dog,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_2_1_1,Class 1:2:1:1,Class1,2,1,language,skip,catalog_only,the,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_3_1_1,Class 1:3:1:1,Class1,3,1,language,skip,catalog_only,blue,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_4_1_1,Class 1:4:1:1,Class1,4,1,language,skip,catalog_only,fly,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_5_1_1,Class 1:5:1:1,Class1,5,1,language,skip,catalog_only,children,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_6_1_1,Class 1:6:1:1,Class1,6,1,language,skip,catalog_only,i walked home,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_7_1_1,Class 1:7:1:1,Class1,7,1,language,skip,catalog_only,again,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_8_1_1,Class 1:8:1:1,Class1,8,1,language,skip,catalog_only,quick,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_9_1_1,Class 1:9:1:1,Class1,9,1,language,skip,catalog_only,"after the rain stopped, the game began",,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_10_1_1,Class 1:10:1:1,Class1,10,1,language,skip,catalog_only,she,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_11_1_1,Class 1:11:1:1,Class1,11,1,language,skip,catalog_only,the snow is a blanket,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_12_1_1,Class 1:12:1:1,Class1,12,1,language,skip,catalog_only,pollination,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_13_1_1,Class 1:13:1:1,Class1,13,1,language,skip,catalog_only,i packed lunch; then i left,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_14_1_1,Class 1:14:1:1,Class1,14,1,language,skip,catalog_only,deductive,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_15_1_1,Class 1:15:1:1,Class1,15,1,language,skip,catalog_only,ethos,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_16_1_1,Class 1:16:1:1,Class1,16,1,language,skip,catalog_only,morpheme,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_17_1_1,Class 1:17:1:1,Class1,17,1,language,skip,catalog_only,antecedent,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_18_1_1,Class 1:18:1:1,Class1,18,1,language,skip,catalog_only,semantics,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_19_1_1,Class 1:19:1:1,Class1,19,1,language,skip,catalog_only,implicature,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_0_2_1,Class 1:0:2:1,Class1,0,2,logic,skip,catalog_only,no,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_1_2_1,Class 1:1:2:1,Class1,1,2,logic,skip,catalog_only,blue,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_2_2_1,Class 1:2:2:1,Class1,2,2,logic,skip,catalog_only,yes,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_3_2_1,Class 1:3:2:1,Class1,3,2,logic,skip,catalog_only,9,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_4_2_1,Class 1:4:2:1,Class1,4,2,logic,skip,catalog_only,wednesday,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_5_2_1,Class 1:5:2:1,Class1,5,2,logic,skip,catalog_only,yes,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_6_2_1,Class 1:6:2:1,Class1,6,2,logic,skip,catalog_only,no,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_7_2_1,Class 1:7:2:1,Class1,7,2,logic,skip,catalog_only,if not q then not p,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_8_2_1,Class 1:8:2:1,Class1,8,2,logic,skip,catalog_only,true,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_9_2_1,Class 1:9:2:1,Class1,9,2,logic,skip,catalog_only,xor,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_10_2_1,Class 1:10:2:1,Class1,10,2,logic,skip,catalog_only,no,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_11_2_1,Class 1:11:2:1,Class1,11,2,logic,skip,catalog_only,ad hominem,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_12_2_1,Class 1:12:2:1,Class1,12,2,logic,skip,catalog_only,yes,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_13_2_1,Class 1:13:2:1,Class1,13,2,logic,skip,catalog_only,r,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_14_2_1,Class 1:14:2:1,Class1,14,2,logic,skip,catalog_only,induction,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_15_2_1,Class 1:15:2:1,Class1,15,2,logic,skip,catalog_only,prior,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_16_2_1,Class 1:16:2:1,Class1,16,2,logic,skip,catalog_only,q,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_17_2_1,Class 1:17:2:1,Class1,17,2,logic,skip,catalog_only,forall,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_18_2_1,Class 1:18:2:1,Class1,18,2,logic,skip,catalog_only,transitive,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_19_2_1,Class 1:19:2:1,Class1,19,2,logic,skip,catalog_only,universal,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_0_3_1,Class 1:0:3:1,Class1,0,3,geography,skip,catalog_only,earth,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_1_3_1,Class 1:1:3:1,Class1,1,3,geography,skip,catalog_only,paris,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_2_3_1,Class 1:2:3:1,Class1,2,3,geography,skip,catalog_only,africa,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_3_3_1,Class 1:3:3:1,Class1,3,3,geography,skip,catalog_only,continent,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_4_3_1,Class 1:4:3:1,Class1,4,3,geography,skip,catalog_only,pacific,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_5_3_1,Class 1:5:3:1,Class1,5,3,geography,skip,catalog_only,equator,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_6_3_1,Class 1:6:3:1,Class1,6,3,geography,skip,catalog_only,japan,,0.000,
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,ollama,class1_7_3_1,Class 1:7:3:1,Class1,7,3,geography,skip,catalog_only,brasilia,,0.000,
